"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/28/2022 09:41:34 am,1.174,1.00,,
09/28/2022 09:41:34 am,1.228,0.00,0.05,0.92
09/28/2022 09:41:37 am,4.823,1.00,,
09/28/2022 09:41:37 am,4.871,0.00,0.05,1.05
09/28/2022 09:41:41 am,8.429,1.00,,
09/28/2022 09:41:41 am,8.481,0.00,0.05,0.97
09/28/2022 09:41:45 am,12.072,1.00,,
09/28/2022 09:41:45 am,12.122,0.00,0.05,1.01
09/28/2022 09:41:48 am,15.684,1.00,,
09/28/2022 09:41:48 am,15.733,0.00,0.05,1.03
09/28/2022 09:41:52 am,19.316,1.00,,
09/28/2022 09:41:52 am,19.359,0.00,0.04,1.18
09/28/2022 09:41:55 am,22.945,1.00,,
09/28/2022 09:41:55 am,22.994,0.00,0.05,1.02
09/28/2022 09:41:59 am,26.560,1.00,,
09/28/2022 09:41:59 am,26.603,0.00,0.04,1.16
09/28/2022 09:42:03 am,30.195,1.00,,
09/28/2022 09:42:03 am,30.244,0.00,0.05,1.03
09/28/2022 09:42:06 am,33.817,1.00,,
09/28/2022 09:42:06 am,33.861,0.00,0.04,1.13
09/28/2022 09:42:10 am,37.429,1.00,,
09/28/2022 09:42:10 am,37.481,0.00,0.05,0.95
09/28/2022 09:42:14 am,41.066,1.00,,
09/28/2022 09:42:14 am,41.116,0.00,0.05,1.00
09/28/2022 09:42:17 am,44.667,1.00,,
09/28/2022 09:42:17 am,44.722,0.00,0.05,0.91
09/28/2022 09:42:21 am,48.321,1.00,,
09/28/2022 09:42:21 am,48.376,0.00,0.05,0.91
09/28/2022 09:42:24 am,51.916,1.00,,
09/28/2022 09:42:24 am,51.970,0.00,0.05,0.93
09/28/2022 09:42:28 am,55.573,1.00,,
09/28/2022 09:42:28 am,55.623,0.00,0.05,1.01
09/28/2022 09:42:32 am,59.184,1.00,,
09/28/2022 09:42:32 am,59.235,0.00,0.05,0.98
09/28/2022 09:42:35 am,62.815,1.00,,
09/28/2022 09:42:35 am,62.861,0.00,0.05,1.08
09/28/2022 09:42:39 am,66.445,1.00,,
09/28/2022 09:42:39 am,66.494,0.00,0.05,1.01
09/28/2022 09:42:43 am,70.063,1.00,,
09/28/2022 09:42:43 am,70.109,0.00,0.05,1.07
09/28/2022 09:42:46 am,73.691,1.00,,
09/28/2022 09:42:46 am,73.741,0.00,0.05,0.99
09/28/2022 09:42:50 am,77.316,1.00,,
09/28/2022 09:42:50 am,77.364,0.00,0.05,1.05
09/28/2022 09:42:53 am,80.931,1.00,,
09/28/2022 09:42:53 am,80.984,0.00,0.05,0.95
09/28/2022 09:42:57 am,84.574,1.00,,
09/28/2022 09:42:57 am,84.629,0.00,0.06,0.91
09/28/2022 09:43:01 am,88.168,1.00,,
09/28/2022 09:43:01 am,88.224,0.00,0.06,0.89
09/28/2022 09:43:04 am,91.826,1.00,,
09/28/2022 09:43:04 am,91.880,0.00,0.05,0.92
09/28/2022 09:43:08 am,95.420,1.00,,
09/28/2022 09:43:08 am,95.476,0.00,0.06,0.88
09/28/2022 09:43:12 am,99.065,1.00,,
09/28/2022 09:43:12 am,99.118,0.00,0.05,0.95
09/28/2022 09:43:15 am,102.682,1.00,,
09/28/2022 09:43:15 am,102.733,0.00,0.05,0.99
09/28/2022 09:43:19 am,106.308,1.00,,
09/28/2022 09:43:19 am,106.357,0.00,0.05,1.01
09/28/2022 09:43:22 am,109.936,1.00,,
09/28/2022 09:43:22 am,109.987,0.00,0.05,0.99
09/28/2022 09:43:26 am,113.556,1.00,,
09/28/2022 09:43:26 am,113.606,0.00,0.05,1.01
09/28/2022 09:43:30 am,117.184,1.00,,
09/28/2022 09:43:30 am,117.235,0.00,0.05,0.98
09/28/2022 09:43:33 am,120.811,1.00,,
09/28/2022 09:43:33 am,120.863,0.00,0.05,0.96
09/28/2022 09:43:37 am,124.421,1.00,,
09/28/2022 09:43:37 am,124.476,0.00,0.06,0.91
09/28/2022 09:43:41 am,128.066,1.00,,
09/28/2022 09:43:41 am,128.123,0.00,0.06,0.88
09/28/2022 09:43:44 am,131.664,1.00,,
09/28/2022 09:43:44 am,131.723,0.00,0.06,0.84
09/28/2022 09:43:48 am,135.315,1.00,,
09/28/2022 09:43:48 am,135.374,0.00,0.06,0.86
09/28/2022 09:43:51 am,138.919,1.00,,
09/28/2022 09:43:51 am,138.976,0.00,0.06,0.88
